id_apolice,id_cliente,id_carro,numero_apolice,data_inicio,data_fim,valor_cobertura,valor_franquia,status
1,1,1,APO-2024-0001,2024-01-01,2025-01-01,50000.00,1500.00,Ativa
2,2,2,APO-2024-0002,2024-02-01,2025-02-01,40000.00,1200.00,Ativa
3,3,3,APO-2024-0003,2024-01-15,2025-01-15,80000.00,2000.00,Ativa
4,4,4,APO-2024-0004,2024-03-01,2025-03-01,90000.00,2500.00,Ativa
5,5,5,APO-2024-0005,2024-01-10,2025-01-10,55000.00,1500.00,Ativa
6,6,6,APO-2024-0006,2024-04-01,2025-04-01,75000.00,2000.00,Ativa
7,7,7,APO-2024-0007,2024-02-15,2025-02-15,35000.00,1000.00,Ativa
8,8,8,APO-2024-0008,2024-01-20,2025-01-20,70000.00,1800.00,Ativa
9,9,9,APO-2024-0009,2024-05-01,2025-05-01,85000.00,2200.00,Ativa
10,10,10,APO-2024-0010,2024-03-15,2025-03-15,95000.00,2800.00,Ativa
11,11,11,APO-2024-0011,2024-06-01,2025-06-01,52000.00,1500.00,Ativa
12,12,12,APO-2024-0012,2024-01-05,2025-01-05,45000.00,1300.00,Ativa
13,13,13,APO-2024-0013,2024-07-01,2025-07-01,78000.00,2000.00,Ativa
14,14,14,APO-2024-0014,2024-02-20,2025-02-20,92000.00,2500.00,Ativa
15,15,15,APO-2024-0015,2024-08-01,2025-08-01,60000.00,1700.00,Ativa
16,16,16,APO-2024-0016,2024-04-10,2025-04-10,48000.00,1400.00,Ativa
17,17,17,APO-2024-0017,2024-09-01,2025-09-01,38000.00,1100.00,Ativa
18,18,18,APO-2024-0018,2024-03-05,2025-03-05,65000.00,1800.00,Ativa
19,19,19,APO-2024-0019,2024-10-01,2025-10-01,88000.00,2300.00,Ativa
20,20,20,APO-2024-0020,2024-05-15,2025-05-15,72000.00,2000.00,Ativa
