id_carro,id_modelo,placa,chassi,ano_fabricacao,cor,combustivel
1,11,ABC-1A01,9BW ZZZ377VT004251,2020,Branco,Flex
2,1,ABC-1B02,9BW ZZZ377VT004252,2019,Prata,Flex
3,19,ABC-1C03,9BW ZZZ377VT004253,2021,Preto,Gasolina
4,23,ABC-1D04,9BW ZZZ377VT004254,2022,Branco,Gasolina
5,13,ABC-1E05,9BW ZZZ377VT004255,2020,Vermelho,Flex
6,27,ABC-1F06,9BW ZZZ377VT004256,2021,Cinza,Gasolina
7,7,ABC-1G07,9BW ZZZ377VT004257,2018,Azul,Flex
8,26,ABC-1H08,9BW ZZZ377VT004258,2022,Prata,Gasolina
9,21,ABC-1I09,9BW ZZZ377VT004259,2021,Branco,Diesel
10,18,ABC-1J10,9BW ZZZ377VT004260,2020,Preto,Diesel
11,11,ABC-2A11,9BW ZZZ377VT004261,2023,Branco,Flex
12,2,ABC-2B12,9BW ZZZ377VT004262,2022,Cinza,Flex
13,20,ABC-2C13,9BW ZZZ377VT004263,2021,Vermelho,Gasolina
14,24,ABC-2D14,9BW ZZZ377VT004264,2023,Preto,Gasolina
15,4,ABC-2E15,9BW ZZZ377VT004265,2022,Branco,Flex
16,9,ABC-2F16,9BW ZZZ377VT004266,2021,Prata,Flex
17,6,ABC-2G17,9BW ZZZ377VT004267,2019,Azul,Flex
18,29,ABC-2H18,9BW ZZZ377VT004268,2020,Cinza,Gasolina
19,22,ABC-2I19,9BW ZZZ377VT004269,2022,Branco,Gasolina
20,14,ABC-2J20,9BW ZZZ377VT004270,2021,Preto,Diesel
