id_modelo,nome_modelo,id_marca,categoria
1,Gol,1,Hatch
2,Polo,1,Hatch
3,Virtus,1,Sedan
4,T-Cross,1,SUV
5,Tiguan,1,SUV
6,Strada,2,Picape
7,Argo,2,Hatch
8,Cronos,2,Sedan
9,Pulse,2,SUV
10,Toro,2,Picape
11,Onix,3,Hatch
12,Onix Plus,3,Sedan
13,Tracker,3,SUV
14,S10,3,Picape
15,Trailblazer,3,SUV
16,Ka,4,Hatch
17,Territory,4,SUV
18,Ranger,4,Picape
19,Corolla,5,Sedan
20,Yaris,5,Hatch
21,Hilux,5,Picape
22,RAV4,5,SUV
23,Civic,6,Sedan
24,HR-V,6,SUV
25,Fit,6,Hatch
26,HB20,7,Hatch
27,Creta,7,SUV
28,Tucson,7,SUV
29,Kwid,8,Hatch
30,Duster,8,SUV
